Postcode,NUTS1 region
CV8,West Midlands (England)
CV9,East Midlands (England)
CW10,North West (England)
CW12,West Midlands (England)
CW2,West Midlands (England)
CW3,West Midlands (England)
CW4,North West (England)
CW6,North West (England)
CW7,North West (England)
CW8,North West (England)
CW9,North West (England)
DA1,London
DA14,London
DA15,London
DA16,London
DA17,London
DA18,London
DA5,London
DA6,London
DA7,London
DA8,London
DD1,Scotland
DD10,Scotland
DD11,Scotland
DD2,Scotland
DD3,Scotland
DD4,Scotland
DD5,Scotland
DD6,Scotland
DD7,Scotland
DD8,Scotland
DD9,Scotland
DE11,East Midlands (England)
DE12,East Midlands (England)
DE13,West Midlands (England)
DE14,West Midlands (England)
DE15,West Midlands (England)
DE4,East Midlands (England)
DE55,East Midlands (England)
DE6,West Midlands (England)
DE72,East Midlands (England)
DE73,East Midlands (England)
DE74,East Midlands (England)
DG1,Scotland
DG10,Scotland
DG11,Scotland
DG12,Scotland
DG13,Scotland
DG14,Scotland
DG16,Scotland
DG2,Scotland
DG3,Scotland
DG4,Scotland
DG5,Scotland
DG6,Scotland
DG7,Scotland
DG8,Scotland
DG9,Scotland
DH1,North East (England)
DH2,North East (England)
DH3,North East (England)
DH4,North East (England)
DH5,North East (England)
DH6,North East (England)
DH7,North East (England)
DH8,North East (England)
DH9,North East (England)
DH97,North East (England)
DH98,North East (England)
DH99,North East (England)
DL1,North East (England)
DL10,Yorkshire and The Humber
DL11,North East (England)
DL12,North West (England)
DL13,North East (England)
DL14,North East (England)
DL15,North East (England)
DL16,North East (England)
DL17,North East (England)
DL2,North East (England)
DL3,North East (England)
DL4,North East (England)
DL5,North East (England)
DL6,Yorkshire and The Humber
DL7,Yorkshire and The Humber
DL8,Yorkshire and The Humber
DL9,Yorkshire and The Humber
DL98,North East (England)
DN1,Yorkshire and The Humber
DN10,Yorkshire and The Humber
DN11,East Midlands (England)
DN12,Yorkshire and The Humber
DN14,Yorkshire and The Humber
DN15,Yorkshire and The Humber
DN16,Yorkshire and The Humber
DN17,Yorkshire and The Humber
DN18,Yorkshire and The Humber
DN19,Yorkshire and The Humber
DN2,Yorkshire and The Humber
DN20,Yorkshire and The Humber
DN21,Yorkshire and The Humber
DN22,East Midlands (England)
DN3,Yorkshire and The Humber
DN31,Yorkshire and The Humber
DN32,Yorkshire and The Humber
DN33,Yorkshire and The Humber
DN34,Yorkshire and The Humber
DN35,Yorkshire and The Humber
DN36,Yorkshire and The Humber
DN37,Yorkshire and The Humber
DN38,Yorkshire and The Humber
DN39,Yorkshire and The Humber
DN40,Yorkshire and The Humber
DN41,Yorkshire and The Humber
DN6,Yorkshire and The Humber
DN8,Yorkshire and The Humber
DN9,Yorkshire and The Humber
DT1,South West (England)
DT10,South West (England)
DT11,South West (England)
DT2,South West (England)
DT3,South West (England)
DT4,South West (England)
DT5,South West (England)
DT6,South West (England)
DT7,South West (England)
DT8,South West (England)
DT9,South West (England)
DY1,West Midlands (England)
DY10,West Midlands (England)
DY11,West Midlands (England)
DY12,West Midlands (England)
DY14,West Midlands (England)
DY2,West Midlands (England)
DY3,West Midlands (England)
DY4,West Midlands (England)
DY5,West Midlands (England)
DY6,West Midlands (England)
DY7,West Midlands (England)
DY8,West Midlands (England)
DY9,West Midlands (England)
E1,London
E12,London
E13,London
E14,London
E15,London
E16,London
E1W,London
E2,London
E20,London
E3,London
E4,East of England
E5,London
E6,London
E7,London
E8,London
E9,London
E98,London
EC1A,London
EC1M,London
EC1N,London
EC1R,London
EC1V,London
EC1Y,London
EC2A,London
EC2M,London
EC2N,London
EC2P,London
EC2R,London
EC2V,London
EC2Y,London
EC3A,London
EC3M,London
EC3N,London
EC3P,London
EC3R,London
EC3V,London
EC4A,London
EC4M,London
EC4N,London
EC4R,London
EC4V,London
EC4Y,London
EH1,Scotland
EH10,Scotland
EH11,Scotland
EH12,Scotland
EH13,Scotland
EH14,Scotland
EH15,Scotland
EH16,Scotland
EH17,Scotland
EH18,Scotland
EH19,Scotland
EH2,Scotland
EH20,Scotland
EH21,Scotland
EH22,Scotland
EH23,Scotland
EH24,Scotland
EH25,Scotland
EH26,Scotland
EH27,Scotland
EH28,Scotland
EH29,Scotland
EH3,Scotland
EH30,Scotland
EH31,Scotland
EH32,Scotland
EH33,Scotland
EH34,Scotland
EH35,Scotland
EH36,Scotland
EH37,Scotland
EH39,Scotland
EH4,Scotland
EH40,Scotland
EH41,Scotland
EH42,Scotland
EH46,Scotland
EH47,Scotland
EH48,Scotland
EH49,Scotland
EH5,Scotland
EH51,Scotland
EH52,Scotland
EH53,Scotland
EH54,Scotland
EH55,Scotland
EH6,Scotland
EH7,Scotland
EH8,Scotland
EH9,Scotland
EH91,Scotland
EH95,Scotland
EH99,Scotland
EN1,London
EN10,East of England
EN11,East of England
EN2,London
EN3,London
EN4,London
EN5,East of England
EN6,London
EN7,London
EN8,London
EN9,London
EX13,South West (England)
EX14,South West (England)
EX16,South West (England)
EX35,South West (England)
EX36,South West (England)
FK1,Scotland
FK10,Scotland
FK11,Scotland
FK12,Scotland
FK13,Scotland
FK14,Scotland
FK15,Scotland
FK16,Scotland
FK17,Scotland
FK18,Scotland
FK19,Scotland
FK2,Scotland
FK20,Scotland
FK21,Scotland
FK3,Scotland
FK4,Scotland
FK5,Scotland
FK6,Scotland
FK7,Scotland
FK8,Scotland
FK9,Scotland
FY1,North West (England)
FY2,North West (England)
FY3,North West (England)
FY4,North West (England)
FY5,North West (England)
FY6,North West (England)
FY8,North West (England)
G1,Scotland
G11,Scotland
G12,Scotland
G13,Scotland
G14,Scotland
G15,Scotland
G2,Scotland
G20,Scotland
G21,Scotland
G22,Scotland
G23,Scotland
G3,Scotland
G31,Scotland
G32,Scotland
G33,Scotland
G34,Scotland
G4,Scotland
G40,Scotland
G41,Scotland
G42,Scotland
G43,Scotland
G44,Scotland
G45,Scotland
G46,Scotland
G5,Scotland
G51,Scotland
G52,Scotland
G53,Scotland
G58,Scotland
G60,Scotland
G61,Scotland
G62,Scotland
G63,Scotland
G64,Scotland
G65,Scotland
G66,Scotland
G67,Scotland
G68,Scotland
G69,Scotland
G70,Scotland
G71,Scotland
G72,Scotland
G73,Scotland
G74,Scotland
G75,Scotland
G76,Scotland
G77,Scotland
G78,Scotland
G79,Scotland
G81,Scotland
G82,Scotland
G83,Scotland
G84,Scotland
G9,Scotland
G90,Scotland
GL1,South West (England)
GL10,South West (England)
GL11,South West (England)
GL12,South West (England)
GL13,South West (England)
GL14,South West (England)
GL15,South West (England)
GL16,Wales
GL17,West Midlands (England)
GL18,West Midlands (England)
GL19,South West (England)
GL2,South West (England)
GL20,South West (England)
GL3,South West (England)
GL4,South West (England)
GL5,South West (England)
GL50,South West (England)
GL51,South West (England)
GL52,South West (England)
GL53,South West (England)
GL54,South West (England)
GL55,South West (England)
GL56,South East (England)
GL6,South West (England)
GL7,South East (England)
GL8,South West (England)
GL9,South West (England)
GU1,South East (England)
GU10,South East (England)
GU11,South East (England)
GU12,South East (England)
GU14,South East (England)
GU15,South East (England)
GU16,South East (England)
GU17,South East (England)
GU18,South East (England)
GU19,South East (England)
GU2,South East (England)
GU20,South East (England)
GU21,South East (England)
GU22,South East (England)
GU23,South East (England)
GU24,South East (England)
GU25,South East (England)
GU26,South East (England)
GU27,South East (England)
GU3,South East (England)
GU30,South East (England)
GU31,South East (England)
GU32,South East (England)
GU33,South East (England)
GU34,South East (England)
GU35,South East (England)
GU4,South East (England)
GU46,South East (England)
GU5,South East (England)
GU51,South East (England)
GU52,South East (England)
GU6,South East (England)
GU7,South East (England)
GU8,South East (England)
GU9,South East (England)
GU95,South East (England)
HA0,London
HA1,London
HA2,London
HA3,London
HA4,London
HA5,London
HA6,London
HA7,London
HA8,London
HA9,London
HD1,Yorkshire and The Humber
HD2,Yorkshire and The Humber
HD3,Yorkshire and The Humber
HD4,Yorkshire and The Humber
HD5,Yorkshire and The Humber
HD6,Yorkshire and The Humber
HD7,Yorkshire and The Humber
HD8,Yorkshire and The Humber
HD9,Yorkshire and The Humber
HG1,Yorkshire and The Humber
HG2,Yorkshire and The Humber
HG3,Yorkshire and The Humber
HG4,Yorkshire and The Humber
HG5,Yorkshire and The Humber
HP1,East of England
HP10,South East (England)
HP11,South East (England)
HP12,South East (England)
HP13,South East (England)
HP14,South East (England)
HP15,South East (England)
HP16,South East (England)
HP17,South East (England)
HP18,South East (England)
HP19,South East (England)
HP2,East of England
HP20,South East (England)
HP21,South East (England)
HP22,South East (England)
HP23,South East (England)
HP27,South East (England)
HP3,East of England
HP4,East of England
HP5,South East (England)
HP6,South East (England)
HP7,South East (England)
HP8,South East (England)
HP9,South East (England)
HR1,West Midlands (England)
HR2,West Midlands (England)
HR3,West Midlands (England)
HR4,West Midlands (England)
HR5,West Midlands (England)
HR6,West Midlands (England)
HR7,West Midlands (England)
HR8,West Midlands (England)
HR9,West Midlands (England)
HS1,Scotland
HS2,Scotland
HS3,Scotland
HS4,Scotland
HS5,Scotland
HS6,Scotland
HS7,Scotland
HS8,Scotland
HS9,Scotland
HU1,Yorkshire and The Humber
HU11,Yorkshire and The Humber
HU12,Yorkshire and The Humber
HU13,Yorkshire and The Humber
HU2,Yorkshire and The Humber
HU3,Yorkshire and The Humber
HU4,Yorkshire and The Humber
HU5,Yorkshire and The Humber
HU6,Yorkshire and The Humber
HU7,Yorkshire and The Humber
HU8,Yorkshire and The Humber
HU9,Yorkshire and The Humber
HX1,Yorkshire and The Humber
HX2,Yorkshire and The Humber
HX3,Yorkshire and The Humber
HX4,Yorkshire and The Humber
HX5,Yorkshire and The Humber
HX6,Yorkshire and The Humber
HX7,Yorkshire and The Humber
IG10,East of England
IG11,London
IG7,East of England
IG8,East of England
IG9,East of England
IP20,East of England
IP21,East of England
IP22,East of England
IP23,East of England
IP24,East of England
IP25,East of England
IP26,East of England
IP27,East of England
IP28,East of England
IP98,East of England
IV1,Scotland
IV10,Scotland
IV11,Scotland
IV12,Scotland
IV13,Scotland
IV14,Scotland
IV15,Scotland
IV16,Scotland
IV17,Scotland
IV18,Scotland
IV19,Scotland
IV2,Scotland
IV20,Scotland
IV21,Scotland
IV22,Scotland
IV23,Scotland
IV24,Scotland
IV25,Scotland
IV26,Scotland
IV27,Scotland
IV28,Scotland
IV3,Scotland
IV30,Scotland
IV31,Scotland
IV32,Scotland
IV36,Scotland
IV4,Scotland
IV40,Scotland
IV41,Scotland
IV42,Scotland
IV43,Scotland
IV44,Scotland
IV45,Scotland
IV46,Scotland
IV47,Scotland
IV48,Scotland
IV49,Scotland
IV5,Scotland
IV51,Scotland
IV52,Scotland
IV53,Scotland
IV54,Scotland
IV55,Scotland
IV56,Scotland
IV6,Scotland
IV63,Scotland
IV7,Scotland
IV8,Scotland
IV9,Scotland
IV99,Scotland
KA1,Scotland
KA10,Scotland
KA11,Scotland
KA12,Scotland
KA13,Scotland
KA14,Scotland
KA15,Scotland
KA16,Scotland
KA17,Scotland
KA18,Scotland
KA19,Scotland
KA2,Scotland
KA20,Scotland
KA21,Scotland
KA22,Scotland
KA23,Scotland
KA24,Scotland
KA25,Scotland
KA26,Scotland
KA27,Scotland
KA28,Scotland
KA29,Scotland
KA3,Scotland
KA30,Scotland
KA4,Scotland
KA5,Scotland
KA6,Scotland
KA7,Scotland
KA8,Scotland
KA9,Scotland
KT10,South East (England)
KT11,South East (England)
KT12,South East (England)
KT13,South East (England)
KT14,South East (England)
KT15,South East (England)
KT16,South East (England)
KT17,South East (England)
KT18,South East (England)
KT19,South East (England)
KT20,South East (England)
KT21,South East (England)
KT22,South East (England)
KT23,South East (England)
KT24,South East (England)
KT4,South East (England)
KT6,South East (England)
KT7,South East (England)
KT8,South East (England)
KT9,South East (England)
KW1,Scotland
KW10,Scotland
KW11,Scotland
KW12,Scotland
KW13,Scotland
KW14,Scotland
KW15,Scotland
KW16,Scotland
KW17,Scotland
KW2,Scotland
KW3,Scotland
KW5,Scotland
KW6,Scotland
KW7,Scotland
KW8,Scotland
KW9,Scotland
KY1,Scotland
KY10,Scotland
KY11,Scotland
KY12,Scotland
KY13,Scotland
KY14,Scotland
KY15,Scotland
KY16,Scotland
KY2,Scotland
KY3,Scotland
KY4,Scotland
KY5,Scotland
KY6,Scotland
KY7,Scotland
KY8,Scotland
KY9,Scotland
KY99,Scotland
L1,North West (England)
L10,North West (England)
L11,North West (England)
L12,North West (England)
L13,North West (England)
L14,North West (England)
L15,North West (England)
L16,North West (England)
L17,North West (England)
L18,North West (England)
L19,North West (England)
L2,North West (England)
L20,North West (England)
L21,North West (England)
L22,North West (England)
L23,North West (England)
L24,North West (England)
L25,North West (England)
L26,North West (England)
L27,North West (England)
L28,North West (England)
L29,North West (England)
L3,North West (England)
L30,North West (England)
L31,North West (England)
L32,North West (England)
L33,North West (England)
L34,North West (England)
L35,North West (England)
L36,North West (England)
L37,North West (England)
L38,North West (England)
L39,North West (England)
L4,North West (England)
L40,North West (England)
L5,North West (England)
L6,North West (England)
L67,North West (England)
L68,North West (England)
L69,North West (England)
L7,North West (England)
L70,North West (England)
L71,North West (England)
L72,North West (England)
L74,North West (England)
L75,North West (England)
L8,North West (England)
L80,North West (England)
L9,North West (England)
LA10,North West (England)
LA11,North West (England)
LA12,North West (England)
LA13,North West (England)
LA14,North West (England)
LA15,North West (England)
LA16,North West (England)
LA17,North West (England)
LA18,North West (England)
LA19,North West (England)
LA2,Yorkshire and The Humber
LA20,North West (England)
LA21,North West (England)
LA22,North West (England)
LA23,North West (England)
LA5,North West (England)
LA6,North West (England)
LA7,North West (England)
LA8,North West (England)
LA9,North West (England)
LD7,West Midlands (England)
LD8,West Midlands (England)
LE1,East Midlands (England)
LE10,East Midlands (England)
LE11,East Midlands (England)
LE12,East Midlands (England)
LE13,East Midlands (England)
LE14,East Midlands (England)
LE15,East Midlands (England)
LE16,East Midlands (England)
LE17,East Midlands (England)
LE18,East Midlands (England)
LE19,East Midlands (England)
LE2,East Midlands (England)
LE21,East Midlands (England)
LE3,East Midlands (England)
LE4,East Midlands (England)
LE41,East Midlands (England)
LE5,East Midlands (England)
LE55,East Midlands (England)
LE6,East Midlands (England)
LE65,East Midlands (England)
LE67,East Midlands (England)
LE7,East Midlands (England)
LE8,East Midlands (England)
LE87,East Midlands (England)
LE9,East Midlands (England)
LE94,East Midlands (England)
LE95,East Midlands (England)
LL11,Wales
LL14,West Midlands (England)
LL15,Wales
LL16,Wales
LL17,Wales
LL18,Wales
LL19,Wales
LL20,Wales
LL21,Wales
LL22,Wales
LL23,Wales
LL24,Wales
LL25,Wales
LL26,Wales
LL27,Wales
LL28,Wales
LL29,Wales
LL30,Wales
LL31,Wales
LL32,Wales
LL33,Wales
LL34,Wales
LL35,Wales
LL36,Wales
LL37,Wales
LL38,Wales
LL39,Wales
LL40,Wales
LL41,Wales
LL42,Wales
LL43,Wales
LL44,Wales
LL45,Wales
LL46,Wales
LL47,Wales
LL48,Wales
LL49,Wales
LL51,Wales
LL52,Wales
LL53,Wales
LL54,Wales
LL55,Wales
LL56,Wales
LL57,Wales
LL59,Wales
LN1,East Midlands (England)
LN10,East Midlands (England)
LN11,East Midlands (England)
LN12,East Midlands (England)
LN13,East Midlands (England)
LN2,East Midlands (England)
LN3,East Midlands (England)
LN4,East Midlands (England)
LN5,East Midlands (England)
LN6,East Midlands (England)
LN7,Yorkshire and The Humber
LN8,Yorkshire and The Humber
LN9,East Midlands (England)
LS17,Yorkshire and The Humber
LS19,Yorkshire and The Humber
LS20,Yorkshire and The Humber
LS21,Yorkshire and The Humber
LS22,Yorkshire and The Humber
LS24,Yorkshire and The Humber
LS25,Yorkshire and The Humber
LS28,Yorkshire and The Humber
LS29,Yorkshire and The Humber
LU1,East of England
LU2,East of England
LU3,East of England
LU4,East of England
LU5,East of England
LU6,East of England
LU7,East of England
M1,North West (England)
M11,North West (England)
M12,North West (England)
M13,North West (England)
M14,North West (England)
M15,North West (England)
M16,North West (England)
M17,North West (England)
M18,North West (England)
M19,North West (England)
M2,North West (England)
M20,North West (England)
M21,North West (England)
M22,North West (England)
M23,North West (England)
M24,North West (England)
M25,North West (England)
M26,North West (England)
M27,North West (England)
M28,North West (England)
M29,North West (England)
M3,North West (England)
M30,North West (England)
M31,North West (England)
M32,North West (England)
M33,North West (England)
M34,North West (England)
M35,North West (England)
M38,North West (England)
M4,North West (England)
M40,North West (England)
M41,North West (England)
M43,North West (England)
M44,North West (England)
M45,North West (England)
M46,North West (England)
M5,North West (England)
M50,North West (England)
M6,North West (England)
M60,North West (England)
M61,North West (England)
M7,North West (England)
M8,North West (England)
M9,North West (England)
M90,North West (England)
M99,North West (England)
ME1,South East (England)
ME13,South East (England)
ME14,South East (England)
ME15,South East (England)
ME16,South East (England)
ME17,South East (England)
ME18,South East (England)
ME2,South East (England)
ME20,South East (England)
ME3,South East (England)
ME4,South East (England)
ME5,South East (England)
ME7,South East (England)
ME8,South East (England)
ME9,South East (England)
ME99,South East (England)
MK17,East of England
MK18,South East (England)
MK19,South East (England)
MK2,South East (England)
MK3,South East (England)
MK43,East of England
MK44,East of England
MK45,East of England
ML1,Scotland
ML10,Scotland
ML11,Scotland
ML12,Scotland
ML2,Scotland
ML3,Scotland
ML4,Scotland
ML5,Scotland
ML6,Scotland
ML7,Scotland
ML8,Scotland
ML9,Scotland
N1,London
N11,London
N13,London
N14,London
N15,London
N16,London
N17,London
N18,London
N19,London
N1C,London
N21,London
N22,London
N4,London
N5,London
N6,London
N7,London
N8,London
N81,London
N9,London
NE1,North East (England)
NE10,North East (England)
NE11,North East (England)
NE12,North East (England)
NE13,North East (England)
NE15,North East (England)
NE16,North East (England)
NE17,North East (England)
NE18,North East (England)
NE19,North East (England)
NE2,North East (England)
NE20,North East (England)
NE21,North East (England)
NE22,North East (England)
NE23,North East (England)
NE24,North East (England)
NE25,North East (England)
NE26,North East (England)
NE27,North East (England)
NE28,North East (England)
NE29,North East (England)
NE3,North East (England)
NE30,North East (England)
